accession_version	Strain.x	length	moltype	create_date	definition	source	organism	CCAP_RefSeq	SeqSource	strainName	qSpecies_No_Letter	Genus_No	Species_No	Species_No_Letter	Genus_Name	Species.SVF_name	Isolator	Isolation_Year	Orig_Desig	Equiv_Strains	Other_Desigs	Type_Culture	Pathogen	Environment	Geog_Location	Curator	Taxonomy	Archived	Strain.y	SeqAv	strainID
KJ756836.1	<a href='?strainIds=CCAP849_10#!/strainDetails' target='_blank'>CCAP 849/10</a>	1745	DNA	19-JUL-2014	Nannochloropsis oceanica strain CCAP 849/10 18S ribosomal RNA gene, partial sequence	Nannochloropsis oceanica	Nannochloropsis oceanica	Reference	in-house	Nannochloropsis oceanica CCAP 849/10	849/10	849	10		Nannochloropsis	oceanica	Sandnes	2004						Marine	operational hatchery, western Norway	JF	Heterokontophyta/Ochrophyta (heterokont chromophytes), Eustigmatophyceae, Eustigmatales	N	<a href='?strainIds=CCAP849_10#!/strainDetails' target='_blank'>Nannochloropsis oceanica CCAP 849/10</a>	3	CCAP849_10
KJ756835.1	<a href='?strainIds=CCAP849_9#!/strainDetails' target='_blank'>CCAP 849/9</a>	1745	DNA	19-JUL-2014	Nannochloropsis oceanica strain CCAP 849/9 18S ribosomal RNA gene, partial sequence	Nannochloropsis oceanica	Nannochloropsis oceanica	Reference	in-house	Nannochloropsis sp. CCAP 849/9	849/9	849	9		Nannochloropsis	sp.	Kitajima			CSIRO CS-1117				Marine	Japan	JF	Heterokontophyta/Ochrophyta (heterokont chromophytes), Eustigmatophyceae, Eustigmatales	N	<a href='?strainIds=CCAP849_9#!/strainDetails' target='_blank'>Nannochloropsis sp. CCAP 849/9</a>	5	CCAP849_9
KJ756834.1	<a href='?strainIds=CCAP849_8#!/strainDetails' target='_blank'>CCAP 849/8</a>	1735	DNA	19-JUL-2014	Nannochloropsis oceanica strain CCAP 849/8 18S ribosomal RNA gene, partial sequence	Nannochloropsis oceanica	Nannochloropsis oceanica	Reference	in-house	Nannochloropsis sp. CCAP 849/8	849/8	849	8		Nannochloropsis	sp.	Li		Orig. desig. MACC0938	CCMP531				Marine	Qingdao, China	NT	Heterokontophyta/Ochrophyta (heterokont chromophytes), Eustigmatophyceae, Eustigmatales	N	<a href='?strainIds=CCAP849_8#!/strainDetails' target='_blank'>Nannochloropsis sp. CCAP 849/8</a>	2	CCAP849_8
KJ756833.1	<a href='?strainIds=CCAP849_7#!/strainDetails' target='_blank'>CCAP 849/7</a>	1731	DNA	19-JUL-2014	Nannochloropsis oculata strain CCAP 849/7 18S ribosomal RNA gene, partial sequence	Nannochloropsis oculata	Nannochloropsis oculata	Reference	in-house	Nannochloropsis oculata CCAP 849/7	849/7	849	7		Nannochloropsis	oculata	Stirn	1969	Orig. desig. Tunis	CCMP533; CSIRO CS-192				Marine	Lake of Tunis, Tunisia	NT	Heterokontophyta/Ochrophyta (heterokont chromophytes), Eustigmatophyceae, Eustigmatales	N	<a href='?strainIds=CCAP849_7#!/strainDetails' target='_blank'>Nannochloropsis oculata CCAP 849/7</a>	2	CCAP849_7
KJ756832.1	<a href='?strainIds=CCAP849_6#!/strainDetails' target='_blank'>CCAP 849/6</a>	1741	DNA	19-JUL-2014	Nannochloropsis gaditana strain CCAP 849/6 18S ribosomal RNA gene, partial sequence	Nannochloropsis gaditana	Nannochloropsis gaditana	Reference	in-house	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CCAP849_6
KJ756831.1	<a href='?strainIds=CCAP849_5#!/strainDetails' target='_blank'>CCAP 849/5</a>	1797	DNA	19-JUL-2014	Nannochloropsis gaditana strain CCAP 849/5 18S ribosomal RNA gene, partial sequence	Nannochloropsis gaditana	Nannochloropsis gaditana	Reference	in-house	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CCAP849_5
KJ756830.1	<a href='?strainIds=CCAP849_4#!/strainDetails' target='_blank'>CCAP 849/4</a>	1730	DNA	19-JUL-2014	Nannochloropsis salina strain CCAP 849/4 18S ribosomal RNA gene, partial sequence	Microchloropsis salina	Microchloropsis salina	Reference	in-house	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CCAP849_4
KJ756829.1	<a href='?strainIds=CCAP849_3#!/strainDetails' target='_blank'>CCAP 849/3</a>	1733	DNA	19-JUL-2014	Nannochloropsis salina strain CCAP 849/3 18S ribosomal RNA gene, partial sequence	Microchloropsis salina	Microchloropsis salina	Reference	in-house	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CCAP849_3
KJ756828.1	<a href='?strainIds=CCAP849_2#!/strainDetails' target='_blank'>CCAP 849/2</a>	1733	DNA	19-JUL-2014	Nannochloropsis salina strain CCAP 849/2 18S ribosomal RNA gene, partial sequence	Microchloropsis salina	Microchloropsis salina	Reference	in-house	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CCAP849_2
KJ756827.1	<a href='?strainIds=CCAP849_1#!/strainDetails' target='_blank'>CCAP 849/1</a>	1740	DNA	19-JUL-2014	Nannochloropsis oculata strain CCAP 849/1 18S ribosomal RNA gene, partial sequence	Nannochloropsis oculata	Nannochloropsis oculata	Reference	in-house	Nannochloropsis oculata CCAP 849/1	849/1	849	1		Nannochloropsis	oculata	Droop	1953	Orig. desig. Millport 66	CCMP525; CSIRO CS-189; NEPCC 631; UTEX 2164	SMBA 66	TYPE CULTURE		Marine	Skate Point, Isle of Cumbrae, Scotland, UK	JF	Heterokontophyta/Ochrophyta (heterokont chromophytes), Eustigmatophyceae, Eustigmatales	N	<a href='?strainIds=CCAP849_1#!/strainDetails' target='_blank'>Nannochloropsis oculata CCAP 849/1</a>	4	CCAP849_1
AF045034.1	<a href='?strainIds=CCAP211_46#!/strainDetails' target='_blank'>CCAP 211/46</a>	1792	DNA	02-MAR-1998	Nannochloropsis sp. CCAP211/46 18S ribosomal RNA gene, complete sequence	Nannochloropsis sp. CCAP211/46	Nannochloropsis sp. CCAP211/46	Reference	public	Nannochloropsis sp. CCAP 211/46	211/46	211	46		Nannochloropsis	sp.	Belcher	1979		CCMP 1779 Nannochloropsis oceanica				Unknown	material obtained from Inst. for Sci. Res., Kuwait	JF	Heterokontophyta/Ochrophyta (heterokont chromophytes), Eustigmatophyceae, Eustigmatales	N	<a href='?strainIds=CCAP211_46#!/strainDetails' target='_blank'>Nannochloropsis sp. CCAP 211/46</a>	1	CCAP211_46
